,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
6976,Mitsubishi,Montero Sport,2002,regular unleaded,165.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,436,27777
6977,Mitsubishi,Montero Sport,2002,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,29627
6978,Mitsubishi,Montero Sport,2002,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,16,436,22777
6979,Mitsubishi,Montero Sport,2002,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,32887
6980,Mitsubishi,Montero Sport,2002,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,436,31317
6981,Mitsubishi,Montero Sport,2002,regular unleaded,165.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,436,25087
6982,Mitsubishi,Montero Sport,2002,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,16,436,25637
6983,Mitsubishi,Montero Sport,2003,regular unleaded,165.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,436,27777
6984,Mitsubishi,Montero Sport,2003,regular unleaded,165.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,436,25217
6985,Mitsubishi,Montero Sport,2003,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,436,27607
6986,Mitsubishi,Montero Sport,2003,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,16,436,22907
6987,Mitsubishi,Montero Sport,2003,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,32887
6988,Mitsubishi,Montero Sport,2003,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,29627
6989,Mitsubishi,Montero Sport,2003,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,16,436,25637
6990,Mitsubishi,Montero Sport,2003,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,436,31317
6991,Mitsubishi,Montero Sport,2004,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,19,15,436,26199
6992,Mitsubishi,Montero Sport,2004,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,25999
6993,Mitsubishi,Montero Sport,2004,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,28199
6994,Mitsubishi,Montero Sport,2004,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,19,15,436,23999
7352,Mitsubishi,Outlander Sport,2015,regular unleaded,148.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,30,24,436,22195
7353,Mitsubishi,Outlander Sport,2015,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,21295
7354,Mitsubishi,Outlander Sport,2015,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,26,23,436,22695
7355,Mitsubishi,Outlander Sport,2015,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,26,23,436,24995
7356,Mitsubishi,Outlander Sport,2015,regular unleaded,148.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,32,25,436,22795
7357,Mitsubishi,Outlander Sport,2015,regular unleaded,148.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,30,24,436,24195
7358,Mitsubishi,Outlander Sport,2015,regular unleaded,148.0,4.0,MANUAL,front wheel drive,4.0,Crossover,Compact,4dr SUV,30,24,436,19595
7359,Mitsubishi,Outlander Sport,2015,regular unleaded,148.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,32,25,436,20795
7360,Mitsubishi,Outlander Sport,2015,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,23595
7361,Mitsubishi,Outlander Sport,2016,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,23995
7362,Mitsubishi,Outlander Sport,2016,regular unleaded,148.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,29,23,436,22195
7363,Mitsubishi,Outlander Sport,2016,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,27,22,436,22695
7364,Mitsubishi,Outlander Sport,2016,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,27,22,436,25395
7365,Mitsubishi,Outlander Sport,2016,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,27,22,436,23895
7366,Mitsubishi,Outlander Sport,2016,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,22495
7367,Mitsubishi,Outlander Sport,2016,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,21295
7368,Mitsubishi,Outlander Sport,2016,regular unleaded,148.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,31,24,436,20795
7369,Mitsubishi,Outlander Sport,2016,regular unleaded,148.0,4.0,MANUAL,front wheel drive,4.0,Crossover,Compact,4dr SUV,29,23,436,19595
7370,Mitsubishi,Outlander Sport,2016,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,27,22,436,27395
7371,Mitsubishi,Outlander Sport,2016,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,25995
7372,Mitsubishi,Outlander Sport,2017,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,27,22,436,24195
7373,Mitsubishi,Outlander Sport,2017,regular unleaded,148.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,29,23,436,22495
7374,Mitsubishi,Outlander Sport,2017,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,27,22,436,25695
7375,Mitsubishi,Outlander Sport,2017,regular unleaded,148.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,30,24,436,20995
7376,Mitsubishi,Outlander Sport,2017,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,4dr SUV,27,22,436,27695
7377,Mitsubishi,Outlander Sport,2017,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,24195
7378,Mitsubishi,Outlander Sport,2017,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,22695
7379,Mitsubishi,Outlander Sport,2017,regular unleaded,148.0,4.0,MANUAL,front wheel drive,4.0,Crossover,Compact,4dr SUV,29,23,436,19795
7494,Honda,Passport,2000,regular unleaded,205.0,6.0,MANUAL,rear wheel drive,4.0,,Midsize,4dr SUV,18,15,2202,2452
7495,Honda,Passport,2000,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,14,2202,2879
7496,Honda,Passport,2000,regular unleaded,205.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,2715
7497,Honda,Passport,2000,regular unleaded,205.0,6.0,MANUAL,four wheel drive,4.0,,Midsize,4dr SUV,18,15,2202,2668
7498,Honda,Passport,2001,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,30500
7499,Honda,Passport,2001,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,27300
7500,Honda,Passport,2001,regular unleaded,205.0,6.0,MANUAL,rear wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,23000
7501,Honda,Passport,2001,regular unleaded,205.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,2202,24150
7502,Honda,Passport,2001,regular unleaded,205.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,2202,28050
7503,Honda,Passport,2001,regular unleaded,205.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,2202,26800
7504,Honda,Passport,2001,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,29250
7505,Honda,Passport,2001,regular unleaded,205.0,6.0,MANUAL,four wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,26150
7506,Honda,Passport,2002,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,30900
7507,Honda,Passport,2002,regular unleaded,205.0,6.0,MANUAL,four wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,26450
7508,Honda,Passport,2002,regular unleaded,205.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,2202,24450
7509,Honda,Passport,2002,regular unleaded,205.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,2202,28450
7510,Honda,Passport,2002,regular unleaded,205.0,6.0,MANUAL,rear wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,23300
7511,Honda,Passport,2002,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,29550
7512,Honda,Passport,2002,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,27600
7513,Honda,Passport,2002,regular unleaded,205.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,2202,27100
8270,Land Rover,Range Rover Sport,2014,flex-fuel (premium unleaded required/E85),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,High-Performance",Midsize,4dr SUV,19,14,258,79100
8271,Land Rover,Range Rover Sport,2014,premium unleaded (required),340.0,6.0,AUTOMATIC,four wheel drive,4.0,"Luxury,Performance",Midsize,4dr SUV,23,17,258,67600
8272,Land Rover,Range Rover Sport,2014,flex-fuel (premium unleaded required/E85),340.0,6.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,Performance",Midsize,4dr SUV,23,17,258,62600
8273,Land Rover,Range Rover Sport,2014,flex-fuel (premium unleaded required/E85),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,High-Performance",Midsize,4dr SUV,19,14,258,92400
8274,Land Rover,Range Rover Sport,2014,premium unleaded (required),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Luxury,High-Performance",Midsize,4dr SUV,19,14,258,92400
8275,Land Rover,Range Rover Sport,2014,premium unleaded (required),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Luxury,High-Performance",Midsize,4dr SUV,19,14,258,79100
8276,Land Rover,Range Rover Sport,2014,flex-fuel (premium unleaded required/E85),340.0,6.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,Performance",Midsize,4dr SUV,23,17,258,67600
8277,Land Rover,Range Rover Sport,2014,premium unleaded (required),340.0,6.0,AUTOMATIC,four wheel drive,4.0,"Luxury,Performance",Midsize,4dr SUV,23,17,258,62600
8278,Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),340.0,6.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,Performance",Midsize,4dr SUV,23,17,258,63350
8279,Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),340.0,6.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,Performance",Midsize,4dr SUV,23,17,258,68295
8280,Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,High-Performance",Midsize,4dr SUV,19,14,258,79995
8281,Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),550.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,4dr SUV,19,14,258,110475
8282,Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,High-Performance",Midsize,4dr SUV,19,14,258,92495
8283,Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,High-Performance",Midsize,4dr SUV,19,14,258,92495
8284,Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),340.0,6.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,Performance",Midsize,4dr SUV,23,17,258,76875
8285,Land Rover,Range Rover Sport,2016,premium unleaded (recommended),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Luxury,High-Performance",Midsize,4dr SUV,19,14,258,93075
8286,Land Rover,Range Rover Sport,2016,premium unleaded (recommended),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Luxury,High-Performance",Midsize,4dr SUV,19,14,258,79950
8287,Land Rover,Range Rover Sport,2016,premium unleaded (recommended),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Luxury,High-Performance",Midsize,4dr SUV,19,14,258,93295
8288,Land Rover,Range Rover Sport,2016,premium unleaded (recommended),550.0,8.0,AUTOMATIC,four wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Midsize,4dr SUV,19,14,258,111350
8289,Land Rover,Range Rover Sport,2016,premium unleaded (recommended),340.0,6.0,AUTOMATIC,four wheel drive,4.0,"Luxury,Performance",Midsize,4dr SUV,23,17,258,64950
8290,Land Rover,Range Rover Sport,2016,diesel,254.0,6.0,AUTOMATIC,four wheel drive,4.0,"Diesel,Luxury",Midsize,4dr SUV,29,22,258,66450
8291,Land Rover,Range Rover Sport,2016,premium unleaded (recommended),340.0,6.0,AUTOMATIC,four wheel drive,4.0,"Luxury,Performance",Midsize,4dr SUV,23,17,258,69950
8292,Land Rover,Range Rover Sport,2016,diesel,254.0,6.0,AUTOMATIC,four wheel drive,4.0,"Diesel,Luxury",Midsize,4dr SUV,29,22,258,71450
8293,Land Rover,Range Rover Sport,2016,premium unleaded (recommended),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Luxury,High-Performance",Midsize,4dr SUV,19,14,258,82695
8969,Hyundai,Santa Fe Sport,2015,regular unleaded,264.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,24,18,1439,33000
8970,Hyundai,Santa Fe Sport,2015,regular unleaded,264.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,27,19,1439,31250
8971,Hyundai,Santa Fe Sport,2015,regular unleaded,190.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,27,20,1439,24950
8972,Hyundai,Santa Fe Sport,2015,regular unleaded,190.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,25,19,1439,26700
8973,Hyundai,Santa Fe Sport,2015,regular unleaded,264.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,24,18,1439,33000
8974,Hyundai,Santa Fe Sport,2015,regular unleaded,264.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,27,19,1439,31250
8975,Hyundai,Santa Fe Sport,2016,regular unleaded,265.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,24,18,1439,33000
8976,Hyundai,Santa Fe Sport,2016,regular unleaded,190.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,27,20,1439,24950
8977,Hyundai,Santa Fe Sport,2016,regular unleaded,190.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,25,19,1439,26700
8978,Hyundai,Santa Fe Sport,2016,regular unleaded,265.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,27,19,1439,31250
8979,Hyundai,Santa Fe Sport,2017,regular unleaded,265.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,26,19,1439,33450
8980,Hyundai,Santa Fe Sport,2017,regular unleaded,265.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,28,20,1439,31700
8981,Hyundai,Santa Fe Sport,2017,regular unleaded,265.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,24,19,1439,38250
8982,Hyundai,Santa Fe Sport,2017,regular unleaded,190.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,27,21,1439,25350
8983,Hyundai,Santa Fe Sport,2017,regular unleaded,190.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,26,20,1439,27100
8984,Hyundai,Santa Fe Sport,2017,regular unleaded,265.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,27,20,1439,36500
9918,Kia,Sportage,2015,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,21,1720,21900
9919,Kia,Sportage,2015,regular unleaded,260.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,26,20,1720,28100
9920,Kia,Sportage,2015,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,21,1720,25300
9921,Kia,Sportage,2015,regular unleaded,182.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,26,19,1720,26800
9922,Kia,Sportage,2015,regular unleaded,260.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,24,19,1720,29600
9923,Kia,Sportage,2015,regular unleaded,182.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,26,19,1720,23400
9924,Kia,Sportage,2016,regular unleaded,182.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,26,19,1720,23650
9925,Kia,Sportage,2016,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,21,1720,22150
9926,Kia,Sportage,2016,regular unleaded,260.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,25,19,1720,31490
9927,Kia,Sportage,2016,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,21,1720,25350
9928,Kia,Sportage,2016,regular unleaded,260.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,26,20,1720,29990
9929,Kia,Sportage,2016,regular unleaded,182.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,26,19,1720,26850
9930,Kia,Sportage,2017,regular unleaded,181.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,25,21,1720,27000
9931,Kia,Sportage,2017,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,26,21,1720,32500
9932,Kia,Sportage,2017,regular unleaded,181.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,29,22,1720,22990
9933,Kia,Sportage,2017,regular unleaded,237.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,23,20,1720,34000
9934,Kia,Sportage,2017,regular unleaded,181.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,29,22,1720,25500
9935,Kia,Sportage,2017,regular unleaded,181.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,25,21,1720,24490
9936,Chevrolet,Sportvan,1994,regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,3.0,,Midsize,Passenger Van,16,11,1385,2000
9937,Chevrolet,Sportvan,1994,regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,3.0,,Midsize,Passenger Van,16,11,1385,2000
9938,Chevrolet,Sportvan,1994,regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,3.0,,Large,Passenger Van,16,11,1385,2000
9939,Chevrolet,Sportvan,1994,regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,3.0,,Large,Passenger Van,16,11,1385,2000
9940,Chevrolet,Sportvan,1994,regular unleaded,155.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Midsize,Passenger Van,17,14,1385,2000
9941,Chevrolet,Sportvan,1994,regular unleaded,155.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Midsize,Passenger Van,17,14,1385,2000
9942,Chevrolet,Sportvan,1995,regular unleaded,163.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Midsize,Passenger Van,15,13,1385,2000
9943,Chevrolet,Sportvan,1995,regular unleaded,163.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Midsize,Passenger Van,15,13,1385,2000
10095,Bentley,Supersports Convertible ISR,2013,flex-fuel (premium unleaded required/E85),631.0,12.0,AUTOMATIC,all wheel drive,2.0,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,Convertible,19,12,520,291900
10638,Pontiac,Trans Sport,1996,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,3.0,,Compact,Passenger Minivan,24,17,210,2000
10639,Pontiac,Trans Sport,1997,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,3.0,,Midsize,Passenger Minivan,23,16,210,2000
10640,Pontiac,Trans Sport,1997,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,3.0,,Compact,Passenger Minivan,23,16,210,2000
10641,Pontiac,Trans Sport,1998,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,4.0,,Compact,Passenger Minivan,23,16,210,2000
10642,Pontiac,Trans Sport,1998,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,3.0,,Compact,Passenger Minivan,23,16,210,2000
10643,Pontiac,Trans Sport,1998,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Passenger Minivan,23,16,210,2038
10644,Pontiac,Trans Sport,1998,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Passenger Minivan,23,16,210,2104
10869,Acura,TSX Sport Wagon,2012,premium unleaded (recommended),201.0,4.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,30,22,204,35010
10870,Acura,TSX Sport Wagon,2012,premium unleaded (recommended),201.0,4.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,30,22,204,31360
10871,Acura,TSX Sport Wagon,2013,premium unleaded (recommended),201.0,4.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,30,22,204,35510
10872,Acura,TSX Sport Wagon,2013,premium unleaded (recommended),201.0,4.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,30,22,204,31860
10873,Acura,TSX Sport Wagon,2014,premium unleaded (recommended),201.0,4.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,30,22,204,35635
10874,Acura,TSX Sport Wagon,2014,premium unleaded (recommended),201.0,4.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,30,22,204,31985
